time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-09T12:37:01.083Z,6.8016,125.1687,24.02,5.6,mww,,39,0.486,1.08,us,us70004fsk,2019-07-09T13:49:50.730Z,"2km WSW of Dolo, Philippines",earthquake,5.8,3.9,0.073,18,reviewed,us,us
2019-07-09T11:33:31.667Z,47.4283,145.0471,437.26,5.5,mww,,41,1.628,0.84,us,us70004fqv,2019-07-09T13:38:11.125Z,"169km E of Dolinsk, Russia",earthquake,8.9,6.6,0.071,19,reviewed,us,us
2019-07-09T03:11:44.109Z,-30.3925,-177.8174,10,5.2,mb,,76,1.147,1.05,us,us70004fg8,2019-07-09T03:31:59.040Z,"125km S of Raoul Island, New Zealand",earthquake,8.5,1.9,0.042,188,reviewed,us,us
2019-07-09T01:07:56.003Z,-36.7692,-70.8284,149.87,4.7,mb,,68,0.372,0.9,us,us70004fdj,2019-07-09T01:24:06.040Z,"25km NNW of Las Ovejas, Argentina",earthquake,5.4,9.4,0.126,19,reviewed,us,us
2019-07-09T00:27:16.166Z,-0.1405,125.0514,43.64,4.6,mb,,42,2.449,0.73,us,us70004fd0,2019-07-09T01:01:47.040Z,"119km SE of Modayag, Indonesia",earthquake,7.5,7.6,0.063,75,reviewed,us,us
2019-07-08T22:46:33.947Z,36.2314,70.7707,109.31,4.5,mb,,80,1.479,1.2,us,us70004f9s,2019-07-08T23:06:06.040Z,"22km N of `Alaqahdari-ye Kiran wa Munjan, Afghanistan",earthquake,6.7,6.5,0.075,53,reviewed,us,us
2019-07-08T21:41:11.245Z,0.502,126.4075,35,4.6,mb,,57,0.995,1.33,us,us70004f7n,2019-07-08T22:26:47.040Z,"111km WSW of Kota Ternate, Indonesia",earthquake,6.5,2,0.09,37,reviewed,us,us
2019-07-08T21:30:47.850Z,0.4205,126.3394,35,4.9,mb,,60,1.084,1.09,us,us70004f75,2019-07-08T21:52:39.040Z,"121km WSW of Kota Ternate, Indonesia",earthquake,6.5,2,0.054,110,reviewed,us,us
2019-07-08T20:57:40.054Z,0.5935,126.4988,41.56,4.5,mb,,96,0.885,1.04,us,us70004f5m,2019-07-08T21:10:34.040Z,"98km WSW of Kota Ternate, Indonesia",earthquake,8.2,10.1,0.145,14,reviewed,us,us
2019-07-08T20:26:52.069Z,28.8561,-43.6318,10,4.8,mb,,189,34.44,0.89,us,us70004f5n,2019-07-08T21:17:27.040Z,"Northern Mid-Atlantic Ridge",earthquake,16.3,2,0.043,168,reviewed,us,us
2019-07-08T19:54:13.112Z,0.5388,126.442,40.53,4.8,mb,,60,0.953,0.66,us,us70004f30,2019-07-08T20:06:34.040Z,"106km WSW of Kota Ternate, Indonesia",earthquake,4.4,9.7,0.131,18,reviewed,us,us
2019-07-08T19:00:41.023Z,0.5055,126.4024,32.37,5,mb,,83,0.999,0.89,us,us70004f10,2019-07-08T19:20:30.040Z,"111km WSW of Kota Ternate, Indonesia",earthquake,8.4,6.6,0.067,71,reviewed,us,us
2019-07-08T18:52:32.731Z,0.4904,126.3112,24.71,5.8,mww,,42,1.091,0.68,us,us70004f0h,2019-07-09T03:35:30.040Z,"121km WSW of Kota Ternate, Indonesia",earthquake,5.5,3,0.073,18,reviewed,us,us
2019-07-08T18:35:35.803Z,23.844,122.474,16.81,4.7,mb,,126,0.791,0.73,us,us70004ezz,2019-07-08T19:26:52.040Z,"87km SW of Yonakuni, Japan",earthquake,4.6,4.8,0.048,131,reviewed,us,us
2019-07-08T16:12:27.214Z,56.2679,164.3274,10,4.5,mb,,155,4.63,0.86,us,us70004eui,2019-07-08T16:52:20.040Z,"114km E of Ust'-Kamchatsk Staryy, Russia",earthquake,12.4,1.9,0.041,177,reviewed,us,us
2019-07-08T13:54:23.044Z,35.5226,139.1011,33.99,4.5,mb,,102,1.13,0.62,us,us70004eqe,2019-07-09T12:19:51.884Z,"10km S of Uenohara, Japan",earthquake,5.4,5.1,0.081,45,reviewed,us,us
2019-07-08T07:26:19.162Z,31.7965,49.4485,10,4.7,mb,,67,1.93,0.95,us,us70004ekb,2019-07-09T06:07:23.040Z,"20km SE of Masjed Soleyman, Iran",earthquake,8.4,1.9,0.05,119,reviewed,us,us
2019-07-08T07:00:31.425Z,31.7748,49.5422,10,5.7,mb,,36,2.012,0.87,us,us70004ejm,2019-07-09T07:02:23.018Z,"28km SE of Masjed Soleyman, Iran",earthquake,7,1.8,0.029,429,reviewed,us,us
2019-07-08T06:55:57.886Z,-2.5348,138.5082,10,5.6,mb,,41,6.263,1.21,us,us70004ejj,2019-07-09T06:58:05.313Z,"231km W of Abepura, Indonesia",earthquake,8.1,1.8,0.038,239,reviewed,us,us
